time,_id,close,high,low,open,volume
2023-01-03 16:00:00,1672761600,16655.5,16670.0,16651.0,16670.0,17664
2023-01-03 16:05:00,1672761900,16671.0,16676.5,16654.5,16655.5,8692
2023-01-03 16:10:00,1672762200,16643.5,16663.0,16643.5,16662.5,7134
2023-01-03 16:15:00,1672762500,16648.5,16656.0,16639.0,16643.5,12254
2023-01-03 16:20:00,1672762800,16651.0,16654.5,16636.0,16648.0,7770
2023-01-03 16:25:00,1672763100,16640.0,16652.5,16633.5,16651.5,6524
2023-01-03 16:30:00,1672763400,16639.5,16643.5,16627.0,16642.5,5184
2023-01-03 16:35:00,1672763700,16647.0,16647.0,16635.0,16639.5,3230
2023-01-03 16:40:00,1672764000,16647.5,16653.5,16646.5,16647.5,6660
2023-01-03 16:45:00,1672764300,16632.5,16646.5,16630.0,16646.5,22560
2023-01-03 16:50:00,1672764600,16627.0,16635.5,16620.5,16634.5,3893
2023-01-03 16:55:00,1672764900,16616.0,16627.5,16610.0,16627.0,13476
2023-01-03 17:00:00,1672765200,16621.5,16625.5,16611.0,16614.5,5425
2023-01-03 17:05:00,1672765500,16629.0,16636.0,16621.5,16621.5,5320
2023-01-03 17:10:00,1672765800,16634.0,16636.0,16628.0,16629.0,3122
2023-01-03 17:15:00,1672766100,16628.5,16634.0,16628.0,16632.5,4030
2023-01-03 17:20:00,1672766400,16618.0,16630.5,16614.5,16628.5,2758
2023-01-03 17:25:00,1672766700,16618.5,16625.5,16617.5,16618.0,2993
2023-01-03 17:30:00,1672767000,16631.0,16632.0,16616.0,16618.5,5910
2023-01-03 17:35:00,1672767300,16628.0,16632.5,16627.5,16629.5,4402
2023-01-03 17:40:00,1672767600,16614.5,16625.0,16614.5,16625.0,5957
2023-01-03 17:45:00,1672767900,16617.0,16617.0,16601.0,16614.5,5784
2023-01-03 17:50:00,1672768200,16620.5,16622.0,16617.5,16617.5,2053
2023-01-03 17:55:00,1672768500,16625.0,16626.0,16609.5,16616.5,6850
2023-01-03 18:00:00,1672768800,16630.5,16630.5,16620.5,16624.0,4839
2023-01-03 18:05:00,1672769100,16628.5,16630.0,16622.5,16630.0,2802
2023-01-03 18:10:00,1672769400,16627.5,16636.5,16626.0,16630.5,3160
2023-01-03 18:15:00,1672769700,16632.0,16632.0,16627.5,16628.0,1476
2023-01-03 18:20:00,1672770000,16623.5,16627.0,16623.0,16627.0,3436
2023-01-03 18:25:00,1672770300,16643.5,16643.5,16623.5,16623.5,7443
2023-01-03 18:30:00,1672770600,16638.5,16642.5,16638.5,16641.5,2592
2023-01-03 18:35:00,1672770900,16641.0,16645.5,16640.5,16640.5,3113
